circuit_join,D,R,Obama,Trump,HWBush,Bush,Ford,Carter,Biden,Nixon,Reagan,Clinton,party
DISTRICT OF COLUMBIA CIRCUIT,9,7,5.0,3.0,1.0,0.0,0.0,1.0,2.0,0.0,3.0,1.0,D
EIGHTH CIRCUIT,1,16,1.0,3.0,2.0,6.0,0.0,0.0,0.0,0.0,5.0,0.0,R
ELEVENTH CIRCUIT,7,12,2.0,6.0,2.0,1.0,0.0,1.0,1.0,0.0,3.0,3.0,R
FEDERAL CIRCUIT,11,8,6.0,0.0,4.0,2.0,0.0,0.0,1.0,0.0,2.0,4.0,D
FIFTH CIRCUIT,8,20,2.0,5.0,3.0,5.0,2.0,2.0,2.0,1.0,4.0,2.0,R
FIRST CIRCUIT,7,4,3.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,2.0,D
FOURTH CIRCUIT,9,9,5.0,3.0,1.0,3.0,0.0,0.0,2.0,0.0,2.0,2.0,NA
NINTH CIRCUIT,30,22,7.0,10.0,0.0,7.0,0.0,4.0,6.0,1.0,4.0,13.0,D
SECOND CIRCUIT,17,11,3.0,3.0,1.0,4.0,0.0,3.0,5.0,1.0,2.0,6.0,D
SEVENTH CIRCUIT,5,11,1.0,3.0,0.0,2.0,1.0,0.0,2.0,1.0,4.0,2.0,R
SIXTH CIRCUIT,8,22,1.0,6.0,1.0,7.0,2.0,0.0,2.0,0.0,6.0,5.0,R
TENTH CIRCUIT,11,12,5.0,2.0,1.0,4.0,0.0,1.0,2.0,0.0,5.0,3.0,R
THIRD CIRCUIT,10,14,3.0,4.0,0.0,4.0,0.0,0.0,3.0,1.0,5.0,4.0,R
