name,circuit,president
"Abudu, Nancy Gbana",Eleventh,Joseph R. Biden
"Agee, G. Steven",Fourth,George W. Bush
"Ambro, Thomas L.",Third,William J. Clinton
"Anderson, R[obert] Lanier III",Fifth,Jimmy Carter
"Anderson, Stephen Hale",Tenth,Ronald Reagan
"Arnold, Morris Sheppard",Eighth,Ronald Reagan
"Bacharach, Robert Edwin",Tenth,Barack Obama
"Bade, Bridget Shelton",Ninth,Donald J. Trump
"Baldock, Bobby Ray",Tenth,Ronald Reagan
"Barksdale, Rhesa Hawkins",Fifth,George H.W. Bush
"Barron, David Jeremiah",First,Barack Obama
"Batchelder, Alice Moore",Sixth,Ronald Reagan
"Bauer, William Joseph",Seventh,Richard M. Nixon
"Bea, Carlos T.",Ninth,George W. Bush
"Beam, C[larence] Arlen",Eighth,Ronald Reagan
"Benjamin, DeAndrea Gist",Fourth,Joseph R. Biden
"Bennett, Mark Jeremy",Ninth,Donald J. Trump
"Benton, William Duane",Eighth,George W. Bush
"Berzon, Marsha Siegel",Ninth,William J. Clinton
"Bianco, Joseph Frank",Second,George W. Bush
"Bibas, Stephanos",Third,Donald J. Trump
"Black, Susan Harrell",Eleventh,Jimmy Carter
"Bloomekatz, Rachel Sarah",Sixth,Joseph R. Biden
"Boggs, Danny Julian",Sixth,Ronald Reagan
"Bowman, Pasco Middleton II",Eighth,Ronald Reagan
"Branch, Elizabeth Lee",Eleventh,Donald J. Trump
"Brasher, Andrew Lynn",Eleventh,Donald J. Trump
"Brennan, Michael Brian",Seventh,Donald J. Trump
"Bress, Daniel Aaron",Ninth,Donald J. Trump
"Briscoe, Mary Beck",Tenth,William J. Clinton
"Brorby, Wade",Tenth,Ronald Reagan
"Bryson, William Curtis",Federal,William J. Clinton
"Bumatay, Patrick Joseph",Ninth,Donald J. Trump
"Bush, John Kenneth",Sixth,Donald J. Trump
"Bybee, Jay S.",Ninth,George W. Bush
"Cabranes, José Alberto",Second,Jimmy Carter
"Calabresi, Guido",Second,William J. Clinton
"Callahan, Consuelo Maria",Ninth,George W. Bush
"Campbell, Levin Hicks",First,Richard M. Nixon
"Canby, William Cameron, Jr.",Ninth,Jimmy Carter
"Carnes, Edward Earl",Eleventh,George H.W. Bush
"Carnes, Julie E.",Eleventh,George H.W. Bush
"Carney, Susan Laura",Second,Barack Obama
"Carson, Joel McElroy III",Tenth,Donald J. Trump
"Chagares, Michael A.",Third,George W. Bush
"Chen, Raymond T.",Federal,Barack Obama
"Childs, Julianna Michelle",District,Barack Obama
"Chin, Denny",Second,William J. Clinton
"Christen, Morgan",Ninth,Barack Obama
"Chung, Cindy Kyounga",Third,Joseph R. Biden
"Clay, Eric L.",Sixth,William J. Clinton
"Clement, Edith Brown",Fifth,George H.W. Bush
"Clevenger, Raymond Charles III",Federal,George H.W. Bush
"Clifton, Richard R.",Ninth,George W. Bush
"Cole, Ransey Guy, Jr.",Sixth,William J. Clinton
"Collins, Daniel Paul",Ninth,Donald J. Trump
"Colloton, Steven M.",Eighth,George W. Bush
"Cook, Deborah L.",Sixth,George W. Bush
"Cowen, Robert E.",Third,Ronald Reagan
"Cunningham, Tiffany Patrice",Federal,Joseph R. Biden
"Daughtrey, Martha Craig",Sixth,William J. Clinton
"Davis, Stephanie Dawkins",Sixth,Donald J. Trump
"Davis, W. Eugene",Fifth,Gerald Ford
"de Alba, Ana Isabel",Ninth,Joseph R. Biden
"Dennis, James L.",Fifth,William J. Clinton
"Desai, Roopali H.",Ninth,Joseph R. Biden
"Diaz, Albert",Fourth,Barack Obama
"Douglas, Dana Marie",Fifth,Joseph R. Biden
"Dubina, Joel Fredrick",Eleventh,Ronald Reagan
"Duhe, John Malcolm, Jr.",Fifth,Ronald Reagan
"Duncan, Stuart Kyle",Fifth,Donald J. Trump
"Dyk, Timothy B.",Federal,William J. Clinton
"Easterbrook, Frank Hoover",Seventh,Ronald Reagan
"Ebel, David M.",Tenth,Ronald Reagan
"Edmondson, James Larry",Eleventh,Ronald Reagan
"Edwards, Harry Thomas",District,Jimmy Carter
"Eid, Allison Hartwell",Tenth,Donald J. Trump
"Elrod, Jennifer Walker",Fifth,George W. Bush
"Engelhardt, Kurt Damian",Fifth,George W. Bush
"Erickson, Ralph R.",Eighth,George W. Bush
"Federico, Richard Edward Neel",Tenth,Joseph R. Biden
"Fernandez, Ferdinand Francis",Ninth,Ronald Reagan
"Fisher, D. Michael",Third,George W. Bush
"Flaum, Joel Martin",Seventh,Gerald Ford
"Fletcher, William A.",Ninth,William J. Clinton
"Floyd, Henry Franklin",Fourth,George W. Bush
"Forrest, Danielle Jo",Ninth,Donald J. Trump
"Freeman, Arianna Julia",Third,Joseph R. Biden
"Friedland, Michelle Taryn",Ninth,Barack Obama
"Fuentes, Julio M.",Third,William J. Clinton
"Garcia, Bradley Nelson",District,Joseph R. Biden
"Gelpí, Gustavo Antonio, Jr.",First,George W. Bush
"Gibbons, Julia Smith",Sixth,Ronald Reagan
"Gilman, Ronald Lee",Sixth,William J. Clinton
"Ginsburg, Douglas Howard",District,Ronald Reagan
"Gould, Ronald Murray",Ninth,William J. Clinton
"Graber, Susan",Ninth,William J. Clinton
"Grant, Britt Cagle",Eleventh,Donald J. Trump
"Grasz, Leonard Steven",Eighth,Donald J. Trump
"Graves, James Earl, Jr.",Fifth,Barack Obama
"Gregory, Roger L.",Fourth,George W. Bush
"Griffin, Richard Allen",Sixth,George W. Bush
"Gruender, Raymond W.",Eighth,George W. Bush
"Guy, Ralph B., Jr.",Sixth,Gerald Ford
"Hamilton, David Frank",Seventh,William J. Clinton
"Hansen, David Rasmussen",Eighth,Ronald Reagan
"Hardiman, Thomas Michael",Third,George W. Bush
"Harris, Pamela Ann",Fourth,Barack Obama
"Hartz, Harris L.",Tenth,George W. Bush
"Hawkins, Michael Daly",Ninth,William J. Clinton
"Haynes, Catharina",Fifth,George W. Bush
"Henderson, Karen LeCraft",District,Ronald Reagan
"Heytens, Toby Jay",Fourth,Joseph R. Biden
"Higginbotham, Patrick Errol",Fifth,Gerald Ford
"Higginson, Stephen Andrew",Fifth,Barack Obama
"Ho, James C.",Fifth,Donald J. Trump
"Holmes, Jerome A.",Tenth,George W. Bush
"Howard, Jeffrey R.",First,George W. Bush
"Hughes, Todd Michael",Federal,Barack Obama
"Hull, Frank M.",Eleventh,William J. Clinton
"Hurwitz, Andrew David",Ninth,Barack Obama
"Ikuta, Sandra Segal",Ninth,George W. Bush
"Jackson-Akiwumi, Candace Rae",Seventh,Joseph R. Biden
"Jacobs, Dennis G.",Second,George H.W. Bush
"Johnstone, Anthony Devos",Ninth,Joseph R. Biden
"Jolly, E. Grady",Fifth,Ronald Reagan
"Jones, Edith Hollan",Fifth,Ronald Reagan
"Jordan, Adalberto Jose",Eleventh,William J. Clinton
"Jordan, Kent A.",Third,George W. Bush
"Kahn, Maria Araujo",Second,Joseph R. Biden
"Katsas, Gregory George",District,Donald J. Trump
"Kayatta, William Joseph, Jr.",First,Barack Obama
"Kearse, Amalya Lyle",Second,Jimmy Carter
"Keenan, Barbara Milano",Fourth,Barack Obama
"Kelly, Jane Louise",Eighth,Barack Obama
"Kelly, Paul Joseph, Jr.",Tenth,George H.W. Bush
"Kethledge, Raymond M.",Sixth,George W. Bush
"King, Carolyn Dineen",Fifth,Jimmy Carter
"King, Robert Bruce",Fourth,William J. Clinton
"Kirsch, Thomas Lee II",Seventh,Donald J. Trump
"Kleinfeld, Andrew Jay",Ninth,Ronald Reagan
"Kobes, Jonathan Allen",Eighth,Donald J. Trump
"Koh, Lucy Haeran",Ninth,Barack Obama
"Krause, Cheryl Ann",Third,Barack Obama
"Lagoa, Barbara",Eleventh,Donald J. Trump
"Larsen, Joan Louise",Sixth,Donald J. Trump
"Lee, Eunice Cheryl",Second,Joseph R. Biden
"Lee, John Zihun",Seventh,Barack Obama
"Lee, Kenneth Kiyul",Ninth,Donald J. Trump
"Leval, Pierre Nelson",Second,Jimmy Carter
"Linn, Richard",Federal,William J. Clinton
"Lipez, Kermit Victor",First,William J. Clinton
"Livingston, Debra Ann",Second,George W. Bush
"Lohier, Raymond Joseph, Jr.",Second,Barack Obama
"Loken, James B.",Eighth,George H.W. Bush
"Lourie, Alan David",Federal,George H.W. Bush
"Lucero, Carlos F.",Tenth,William J. Clinton
"Luck, Robert Joshua",Eleventh,Donald J. Trump
"Lynch, Gerard E.",Second,William J. Clinton
"Lynch, Sandra Lea",First,William J. Clinton
"Manion, Daniel Anthony",Seventh,Ronald Reagan
"Marcus, Stanley",Eleventh,Ronald Reagan
"Matey, Paul Brian",Third,Donald J. Trump
"Matheson, Scott Milne, Jr.",Tenth,Barack Obama
"Mathis, Andre Bernard",Sixth,Joseph R. Biden
"Mayer, Haldane Robert",Federal,Ronald Reagan
"McHugh, Carolyn Baldwin",Tenth,Barack Obama
"McKeague, David William",Sixth,George H.W. Bush
"McKee, Theodore Alexander",Third,William J. Clinton
"McKeown, M. Margaret",Ninth,William J. Clinton
"Melloy, Michael Joseph",Eighth,George H.W. Bush
"Menashi, Steven James",Second,Donald J. Trump
"Mendoza, Salvador, Jr.",Ninth,Barack Obama
"Merriam, Sarah Ann Leilani",Second,Joseph R. Biden
"Miller, Eric David",Ninth,Donald J. Trump
"Millett, Patricia Ann",District,Barack Obama
"Montecalvo, Lara Elizabeth",First,Joseph R. Biden
"Montgomery-Reeves, Tamika Renee",Third,Joseph R. Biden
"Moore, Karen Nelson",Sixth,William J. Clinton
"Moore, Kimberly Ann",Federal,George W. Bush
"Moritz, Nancy Louise",Tenth,Barack Obama
"Motz, Diana Jane Gribbon",Fourth,William J. Clinton
"Murguia, Mary Helen",Ninth,William J. Clinton
"Murphy, Eric Earl",Sixth,Donald J. Trump
"Murphy, Michael R.",Tenth,William J. Clinton
"Nalbandian, John Baylor",Sixth,Donald J. Trump
"Nardini, William Joseph",Second,Donald J. Trump
"Nathan, Alison Julie",Second,Barack Obama
"Nelson, Dorothy Wright",Ninth,Jimmy Carter
"Nelson, Ryan Douglas",Ninth,Donald J. Trump
"Newman, Jon Ormond",Second,Richard M. Nixon
"Newman, Pauline",Federal,Ronald Reagan
"Newsom, Kevin Christopher",Eleventh,Donald J. Trump
"Nguyen, Jacqueline Hong-Ngoc",Ninth,Barack Obama
"Niemeyer, Paul Victor",Fourth,Ronald Reagan
"Norris, Alan Eugene",Sixth,Ronald Reagan
