name,circuit,president,circuit_join
"Abudu, Nancy Gbana",Eleventh,Joseph R. Biden,Eleventh Circuit
"Agee, G. Steven",Fourth,George W. Bush,Fourth Circuit
"Ambro, Thomas L.",Third,William J. Clinton,Third Circuit
"Anderson, R[obert] Lanier III",Fifth,Jimmy Carter,Fifth Circuit
"Anderson, Stephen Hale",Tenth,Ronald Reagan,Tenth Circuit
"Arnold, Morris Sheppard",Eighth,Ronald Reagan,Eighth Circuit
"Bacharach, Robert Edwin",Tenth,Barack Obama,Tenth Circuit
"Bade, Bridget Shelton",Ninth,Donald J. Trump,Ninth Circuit
"Baldock, Bobby Ray",Tenth,Ronald Reagan,Tenth Circuit
"Barksdale, Rhesa Hawkins",Fifth,George H.W. Bush,Fifth Circuit
"Barron, David Jeremiah",First,Barack Obama,First Circuit
"Batchelder, Alice Moore",Sixth,Ronald Reagan,Sixth Circuit
"Bauer, William Joseph",Seventh,Richard M. Nixon,Seventh Circuit
"Bea, Carlos T.",Ninth,George W. Bush,Ninth Circuit
"Beam, C[larence] Arlen",Eighth,Ronald Reagan,Eighth Circuit
"Benjamin, DeAndrea Gist",Fourth,Joseph R. Biden,Fourth Circuit
"Bennett, Mark Jeremy",Ninth,Donald J. Trump,Ninth Circuit
"Benton, William Duane",Eighth,George W. Bush,Eighth Circuit
"Berzon, Marsha Siegel",Ninth,William J. Clinton,Ninth Circuit
"Bianco, Joseph Frank",Second,George W. Bush,Second Circuit
"Bibas, Stephanos",Third,Donald J. Trump,Third Circuit
"Black, Susan Harrell",Eleventh,Jimmy Carter,Eleventh Circuit
"Bloomekatz, Rachel Sarah",Sixth,Joseph R. Biden,Sixth Circuit
"Boggs, Danny Julian",Sixth,Ronald Reagan,Sixth Circuit
"Bowman, Pasco Middleton II",Eighth,Ronald Reagan,Eighth Circuit
"Branch, Elizabeth Lee",Eleventh,Donald J. Trump,Eleventh Circuit
"Brasher, Andrew Lynn",Eleventh,Donald J. Trump,Eleventh Circuit
"Brennan, Michael Brian",Seventh,Donald J. Trump,Seventh Circuit
"Bress, Daniel Aaron",Ninth,Donald J. Trump,Ninth Circuit
"Briscoe, Mary Beck",Tenth,William J. Clinton,Tenth Circuit
"Brorby, Wade",Tenth,Ronald Reagan,Tenth Circuit
"Bryson, William Curtis",Federal,William J. Clinton,Federal Circuit
"Bumatay, Patrick Joseph",Ninth,Donald J. Trump,Ninth Circuit
"Bush, John Kenneth",Sixth,Donald J. Trump,Sixth Circuit
"Bybee, Jay S.",Ninth,George W. Bush,Ninth Circuit
"Cabranes, José Alberto",Second,Jimmy Carter,Second Circuit
"Calabresi, Guido",Second,William J. Clinton,Second Circuit
"Callahan, Consuelo Maria",Ninth,George W. Bush,Ninth Circuit
"Campbell, Levin Hicks",First,Richard M. Nixon,First Circuit
"Canby, William Cameron, Jr.",Ninth,Jimmy Carter,Ninth Circuit
"Carnes, Edward Earl",Eleventh,George H.W. Bush,Eleventh Circuit
"Carnes, Julie E.",Eleventh,George H.W. Bush,Eleventh Circuit
"Carney, Susan Laura",Second,Barack Obama,Second Circuit
"Carson, Joel McElroy III",Tenth,Donald J. Trump,Tenth Circuit
"Chagares, Michael A.",Third,George W. Bush,Third Circuit
"Chen, Raymond T.",Federal,Barack Obama,Federal Circuit
"Childs, Julianna Michelle",District,Barack Obama,District Of Columbia Circuit
"Chin, Denny",Second,William J. Clinton,Second Circuit
"Christen, Morgan",Ninth,Barack Obama,Ninth Circuit
"Chung, Cindy Kyounga",Third,Joseph R. Biden,Third Circuit
"Clay, Eric L.",Sixth,William J. Clinton,Sixth Circuit
"Clement, Edith Brown",Fifth,George H.W. Bush,Fifth Circuit
"Clevenger, Raymond Charles III",Federal,George H.W. Bush,Federal Circuit
"Clifton, Richard R.",Ninth,George W. Bush,Ninth Circuit
"Cole, Ransey Guy, Jr.",Sixth,William J. Clinton,Sixth Circuit
"Collins, Daniel Paul",Ninth,Donald J. Trump,Ninth Circuit
"Colloton, Steven M.",Eighth,George W. Bush,Eighth Circuit
"Cook, Deborah L.",Sixth,George W. Bush,Sixth Circuit
"Cowen, Robert E.",Third,Ronald Reagan,Third Circuit
"Cunningham, Tiffany Patrice",Federal,Joseph R. Biden,Federal Circuit
"Daughtrey, Martha Craig",Sixth,William J. Clinton,Sixth Circuit
"Davis, Stephanie Dawkins",Sixth,Donald J. Trump,Sixth Circuit
"Davis, W. Eugene",Fifth,Gerald Ford,Fifth Circuit
"de Alba, Ana Isabel",Ninth,Joseph R. Biden,Ninth Circuit
"Dennis, James L.",Fifth,William J. Clinton,Fifth Circuit
"Desai, Roopali H.",Ninth,Joseph R. Biden,Ninth Circuit
"Diaz, Albert",Fourth,Barack Obama,Fourth Circuit
"Douglas, Dana Marie",Fifth,Joseph R. Biden,Fifth Circuit
"Dubina, Joel Fredrick",Eleventh,Ronald Reagan,Eleventh Circuit
"Duhe, John Malcolm, Jr.",Fifth,Ronald Reagan,Fifth Circuit
"Duncan, Stuart Kyle",Fifth,Donald J. Trump,Fifth Circuit
"Dyk, Timothy B.",Federal,William J. Clinton,Federal Circuit
"Easterbrook, Frank Hoover",Seventh,Ronald Reagan,Seventh Circuit
"Ebel, David M.",Tenth,Ronald Reagan,Tenth Circuit
"Edmondson, James Larry",Eleventh,Ronald Reagan,Eleventh Circuit
"Edwards, Harry Thomas",District,Jimmy Carter,District Of Columbia Circuit
"Eid, Allison Hartwell",Tenth,Donald J. Trump,Tenth Circuit
"Elrod, Jennifer Walker",Fifth,George W. Bush,Fifth Circuit
"Engelhardt, Kurt Damian",Fifth,George W. Bush,Fifth Circuit
"Erickson, Ralph R.",Eighth,George W. Bush,Eighth Circuit
"Federico, Richard Edward Neel",Tenth,Joseph R. Biden,Tenth Circuit
"Fernandez, Ferdinand Francis",Ninth,Ronald Reagan,Ninth Circuit
"Fisher, D. Michael",Third,George W. Bush,Third Circuit
"Flaum, Joel Martin",Seventh,Gerald Ford,Seventh Circuit
"Fletcher, William A.",Ninth,William J. Clinton,Ninth Circuit
"Floyd, Henry Franklin",Fourth,George W. Bush,Fourth Circuit
"Forrest, Danielle Jo",Ninth,Donald J. Trump,Ninth Circuit
"Freeman, Arianna Julia",Third,Joseph R. Biden,Third Circuit
"Friedland, Michelle Taryn",Ninth,Barack Obama,Ninth Circuit
"Fuentes, Julio M.",Third,William J. Clinton,Third Circuit
"Garcia, Bradley Nelson",District,Joseph R. Biden,District Of Columbia Circuit
"Gelpí, Gustavo Antonio, Jr.",First,George W. Bush,First Circuit
"Gibbons, Julia Smith",Sixth,Ronald Reagan,Sixth Circuit
"Gilman, Ronald Lee",Sixth,William J. Clinton,Sixth Circuit
"Ginsburg, Douglas Howard",District,Ronald Reagan,District Of Columbia Circuit
"Gould, Ronald Murray",Ninth,William J. Clinton,Ninth Circuit
"Graber, Susan",Ninth,William J. Clinton,Ninth Circuit
"Grant, Britt Cagle",Eleventh,Donald J. Trump,Eleventh Circuit
"Grasz, Leonard Steven",Eighth,Donald J. Trump,Eighth Circuit
"Graves, James Earl, Jr.",Fifth,Barack Obama,Fifth Circuit
"Gregory, Roger L.",Fourth,George W. Bush,Fourth Circuit
"Griffin, Richard Allen",Sixth,George W. Bush,Sixth Circuit
"Gruender, Raymond W.",Eighth,George W. Bush,Eighth Circuit
"Guy, Ralph B., Jr.",Sixth,Gerald Ford,Sixth Circuit
"Hamilton, David Frank",Seventh,William J. Clinton,Seventh Circuit
"Hansen, David Rasmussen",Eighth,Ronald Reagan,Eighth Circuit
"Hardiman, Thomas Michael",Third,George W. Bush,Third Circuit
"Harris, Pamela Ann",Fourth,Barack Obama,Fourth Circuit
"Hartz, Harris L.",Tenth,George W. Bush,Tenth Circuit
"Hawkins, Michael Daly",Ninth,William J. Clinton,Ninth Circuit
"Haynes, Catharina",Fifth,George W. Bush,Fifth Circuit
"Henderson, Karen LeCraft",District,Ronald Reagan,District Of Columbia Circuit
"Heytens, Toby Jay",Fourth,Joseph R. Biden,Fourth Circuit
"Higginbotham, Patrick Errol",Fifth,Gerald Ford,Fifth Circuit
"Higginson, Stephen Andrew",Fifth,Barack Obama,Fifth Circuit
"Ho, James C.",Fifth,Donald J. Trump,Fifth Circuit
"Holmes, Jerome A.",Tenth,George W. Bush,Tenth Circuit
"Howard, Jeffrey R.",First,George W. Bush,First Circuit
"Hughes, Todd Michael",Federal,Barack Obama,Federal Circuit
"Hull, Frank M.",Eleventh,William J. Clinton,Eleventh Circuit
"Hurwitz, Andrew David",Ninth,Barack Obama,Ninth Circuit
"Ikuta, Sandra Segal",Ninth,George W. Bush,Ninth Circuit
"Jackson-Akiwumi, Candace Rae",Seventh,Joseph R. Biden,Seventh Circuit
"Jacobs, Dennis G.",Second,George H.W. Bush,Second Circuit
"Johnstone, Anthony Devos",Ninth,Joseph R. Biden,Ninth Circuit
"Jolly, E. Grady",Fifth,Ronald Reagan,Fifth Circuit
